City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Weather Description
254,Florencia,IT,43.77,11.25,87.01,32,40,5.82,scattered clouds
255,Dundee,GB,56.5,-2.97,66.2,67,20,21.92,few clouds
256,Two Rivers,US,44.15,-87.57,73.0,64,1,11.41,clear sky
257,Alcacer Do Sal,PT,38.37,-8.51,95.0,39,0,8.05,clear sky
258,Beaupre,CA,47.04,-70.9,63.0,94,4,1.01,clear sky
259,Viedma,AR,-40.81,-63.0,60.01,49,100,1.01,overcast clouds
260,Torbay,CA,47.67,-52.73,64.99,63,75,21.92,broken clouds
261,Manta,EC,-0.95,-80.73,71.6,88,90,9.17,overcast clouds
262,Turukhansk,RU,65.82,87.98,48.65,73,16,5.32,few clouds
263,Gorom-Gorom,BF,14.44,-0.24,92.16,42,54,8.05,broken clouds
264,Bull Savanna,JM,17.89,-77.59,83.7,66,67,5.84,broken clouds
265,Burdur,TR,37.72,30.29,98.6,13,0,6.93,clear sky
266,Mragowo,PL,53.86,21.31,59.0,93,75,16.11,broken clouds
267,Khatanga,RU,71.97,102.5,43.02,86,91,15.99,overcast clouds
268,Vestmannaeyjar,IS,63.44,-20.27,51.8,71,40,20.8,scattered clouds
269,Tamiahua,MX,21.27,-97.45,84.51,75,1,4.0,moderate rain
270,Naze,JP,28.37,129.48,80.6,94,100,2.24,light rain
271,Asau,RO,46.43,26.4,62.01,99,100,2.48,light rain
272,Nantucket,US,41.28,-70.1,69.8,94,90,6.93,mist
273,Caraz,PE,-9.05,-77.81,71.26,30,48,1.95,scattered clouds
274,Salalah,OM,17.02,54.09,80.6,83,40,6.93,scattered clouds
275,Kiunga,PG,-6.12,141.29,73.76,98,100,2.35,light rain
276,Kita,ML,13.03,-9.49,78.93,84,100,7.29,light rain
277,Bolshoye Nagatkino,RU,54.52,47.97,66.2,42,0,11.18,clear sky
278,Carnarvon,AU,-24.87,113.63,64.4,77,0,14.99,clear sky
279,Vanimo,PG,-2.67,141.3,80.06,85,99,6.06,overcast clouds
280,Smithers,CA,54.78,-127.17,48.2,100,90,1.68,light rain
281,Myanaung,MM,18.28,95.32,81.16,81,63,2.3,light rain
282,Larnaca,CY,34.92,33.63,104.0,59,0,4.7,clear sky
283,Inta,RU,66.03,60.17,45.66,88,100,11.36,light rain
284,Bibiani,GH,6.46,-2.32,79.32,84,86,4.92,light rain
285,Kavieng,PG,-2.57,150.8,82.38,77,79,4.9,light rain
286,Malabo,GQ,3.75,8.78,82.4,83,75,11.41,broken clouds
287,Hammelburg,DE,50.12,9.9,72.0,57,98,4.0,overcast clouds
288,Road Town,VG,18.42,-64.62,87.8,74,20,10.29,few clouds
289,Mahebourg,MU,-20.41,57.7,71.6,78,75,16.11,shower rain
290,Ponta Delgada,PT,37.73,-25.67,75.2,73,75,8.05,broken clouds
291,San Juan De Uraba,CO,8.76,-76.53,84.09,66,0,4.88,clear sky
292,Yakovlevka,RU,44.42,133.48,71.47,69,56,11.65,broken clouds
293,Zalari,RU,53.56,102.51,55.51,80,5,5.77,clear sky
294,Zharkovskiy,RU,55.85,32.27,70.93,77,100,6.13,light rain
295,Tasiilaq,GL,65.61,-37.64,42.8,60,20,4.7,few clouds
296,Yulara,AU,-25.24,130.99,59.0,22,99,8.05,overcast clouds
297,Nhulunbuy,AU,-12.23,136.77,71.6,94,0,4.7,clear sky
298,Kamina,CD,-8.74,24.99,87.24,19,37,5.59,scattered clouds
299,Anadyr,RU,64.75,177.48,39.2,93,100,6.71,overcast clouds
300,Solnechnyy,RU,50.72,136.63,61.84,95,100,3.33,overcast clouds
301,Dingle,PH,11.0,122.67,77.88,83,80,1.54,broken clouds
302,Vostok,RU,46.49,135.88,64.36,92,72,7.45,broken clouds
303,Ngunguru,NZ,-35.62,174.5,44.01,3,10,5.01,clear sky
304,Port-Cartier,CA,50.03,-66.87,62.6,82,20,9.17,few clouds
305,Katherine,AU,-14.47,132.27,82.4,34,0,9.17,clear sky
306,Isangel,VU,-19.55,169.27,67.12,72,49,18.19,scattered clouds
307,Otacilio Costa,BR,-27.48,-50.12,70.3,73,97,1.19,light rain
308,Xining,CN,36.62,101.77,56.37,56,20,0.29,few clouds
309,Quatre Cocos,MU,-20.21,57.76,71.6,78,75,16.11,shower rain
310,Colares,PT,38.8,-9.45,95.0,33,0,9.17,clear sky
311,Narsaq,GL,60.92,-46.05,51.8,37,40,3.36,scattered clouds
312,Maraial,BR,-8.78,-35.81,75.74,79,72,11.65,light rain
313,Mokrousovo,RU,55.81,66.77,46.67,78,83,10.33,broken clouds
314,Yerbogachen,RU,61.28,108.01,48.9,75,67,4.18,broken clouds
315,Tuktoyaktuk,CA,69.45,-133.04,44.6,87,75,11.41,broken clouds
316,Linhares,BR,-19.39,-40.07,80.56,54,84,5.95,broken clouds
317,Taoudenni,ML,22.68,-3.98,113.61,11,31,14.97,scattered clouds
318,Benguela,AO,-12.58,13.41,71.6,83,75,6.93,broken clouds
319,Khrebtovaya,RU,56.7,104.25,53.65,80,91,5.12,overcast clouds
320,Boshnyakovo,RU,49.63,142.17,62.89,92,100,6.93,overcast clouds
321,Qasigiannguit,GL,68.82,-51.19,44.6,36,5,18.34,clear sky
322,Helena,US,46.59,-112.04,64.99,57,1,3.89,clear sky
323,Pisco,PE,-13.7,-76.22,62.6,72,90,6.93,overcast clouds
324,Koumac,NC,-20.57,164.28,63.9,75,40,7.16,scattered clouds
325,Umea,SE,63.83,20.26,57.2,93,90,4.7,overcast clouds
326,Goya,AR,-29.14,-59.26,54.43,74,100,3.65,overcast clouds
327,Kendari,ID,-3.94,122.5,75.18,93,81,2.28,light rain
328,Nanortalik,GL,60.14,-45.24,47.32,58,100,6.87,overcast clouds
329,Pong,TH,19.15,100.28,78.1,82,64,1.32,light rain
330,Gazli,UZ,40.13,63.45,82.76,15,0,7.02,clear sky
331,Curup,ID,-3.47,102.53,69.46,92,100,3.06,overcast clouds
332,Nishihara,JP,26.18,127.76,80.6,88,40,5.82,light rain
333,Yueyang,CN,29.33,113.09,76.59,50,49,5.46,light rain
334,Baykit,RU,61.67,96.37,52.74,86,100,5.37,light rain
335,Progreso,MX,21.28,-89.67,87.01,83,75,8.05,broken clouds
336,Belaya Gora,RU,68.53,146.42,36.55,82,55,9.06,broken clouds
337,Kholm,RU,59.27,32.85,67.14,69,66,7.47,broken clouds
338,Kropotkin,RU,45.44,40.58,92.53,30,4,16.15,clear sky
339,Moussoro,TD,13.64,16.49,81.01,70,99,11.65,overcast clouds
340,Anda,CN,46.4,125.32,66.16,97,100,21.39,heavy intensity rain
341,Pacific Grove,US,36.62,-121.92,57.99,97,0,6.42,clear sky
342,Qaqortoq,GL,60.72,-46.03,51.8,37,40,3.36,scattered clouds
343,Chipata,ZM,-13.63,32.65,76.05,37,13,10.74,few clouds
344,Kikwit,CD,-5.04,18.82,89.35,41,96,2.91,overcast clouds
345,Bandarbeyla,SO,9.49,50.81,77.18,79,17,28.79,few clouds
346,San Luis,AR,-33.3,-66.34,62.87,30,0,9.71,clear sky
347,Mortka,RU,59.33,66.02,46.96,84,96,9.89,overcast clouds
348,Cabo San Lucas,MX,22.89,-109.91,81.0,83,5,8.97,clear sky
349,Maloy,NO,61.94,5.11,62.01,63,75,21.92,light rain
350,Broken Hill,AU,-31.95,141.43,55.4,32,58,3.36,broken clouds
351,Jalu,LY,29.03,21.55,104.14,10,0,13.11,clear sky
352,Vila Franca Do Campo,PT,37.72,-25.43,75.2,73,75,8.05,broken clouds
353,Walvis Bay,NA,-22.96,14.51,69.8,37,0,9.17,clear sky
354,Viransehir,TR,37.24,39.76,102.16,10,88,12.71,overcast clouds
355,Askarovo,RU,53.34,58.51,51.8,57,20,11.18,few clouds
356,Homer,US,59.64,-151.55,50.0,93,90,4.03,overcast clouds
357,Rio Gallegos,AR,-51.62,-69.22,39.2,69,40,6.93,scattered clouds
358,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,50.0,100,100,2.24,overcast clouds
359,Cepu,ID,-7.15,111.59,78.39,79,88,5.84,overcast clouds
360,Poum,NC,-20.23,164.02,68.65,67,7,15.48,clear sky
361,Murray Bridge,AU,-35.12,139.27,51.01,86,100,7.0,overcast clouds
362,Ganzhou,CN,28.82,115.43,75.29,57,96,3.06,light rain
